# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/STAR_2009_I793126/d29-x01-y04 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d29-x01-y04
LegendOnly=/STAR_2009_I793126/d29-x01-y04 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d29-x01-y04
RatioPlot=1
RatioPlotReference=/STAR_2009_I793126/d29-x01-y04
# END PLOT

# BEGIN HISTO1D /STAR_2009_I793126/d29-x01-y04
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2009_I793126/d29-x01-y04
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.428000e+01	1.428000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.436000e+01	1.436000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.444000e+01	1.444000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.452000e+01	1.452000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.460000e+01	1.460000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.468000e+01	1.468000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.476000e+01	1.476000e+01	1.257900e-02	1.640000e-04	1.640000e-04
1.484000e+01	1.484000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.492000e+01	1.492000e+01	1.250600e-02	1.470000e-04	1.470000e-04
1.500000e+01	1.500000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.508000e+01	1.508000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.516000e+01	1.516000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.524000e+01	1.524000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.532000e+01	1.532000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.540000e+01	1.540000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.548000e+01	1.548000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.556000e+01	1.556000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.564000e+01	1.564000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.572000e+01	1.572000e+01	1.272600e-02	1.940000e-04	1.940000e-04
1.580000e+01	1.580000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.588000e+01	1.588000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.596000e+01	1.596000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.604000e+01	1.604000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.612000e+01	1.612000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.620000e+01	1.620000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.628000e+01	1.628000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.636000e+01	1.636000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.644000e+01	1.644000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.652000e+01	1.652000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.660000e+01	1.660000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.668000e+01	1.668000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.676000e+01	1.676000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.684000e+01	1.684000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.692000e+01	1.692000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.700000e+01	1.700000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.708000e+01	1.708000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.716000e+01	1.716000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.724000e+01	1.724000e+01	1.250600e-02	1.470000e-04	1.470000e-04
1.732000e+01	1.732000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.740000e+01	1.740000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.748000e+01	1.748000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.756000e+01	1.756000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.764000e+01	1.764000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.772000e+01	1.772000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.780000e+01	1.780000e+01	1.236000e-02	1.040000e-04	1.040000e-04
